"","locality_id","longitude","latitude","OBJECTID","PASITES_ID","NAME","TYPE","SUBTYPE","STATUS","SOURCE","IUCN","OC_NO","ACRES","HECTARES","OC_DATE","DATE_EST","OC_NAME","NOTES","GlobalID","Shape_STAr","Shape_STLe","coords.x1","coords.x2","optional"
"1","L2390329",-114.056848,51.0292262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.056848,51.0292262,TRUE
"2","L760023",-113.0704308,49.900108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.0704308,49.900108,TRUE
"3","L299543",-115.5931835,51.1722383,"435",5012,"Banff","NP",NA,"OC","41","II",NA,1692721.44138161,685020.06363893,NA,"1885/12/31","Banff National Park of Canada",NA,"{4016F0DE-9849-4667-881A-2A5E0DD992D0}",6850200636.4,754751.511127,-115.5931835,51.1722383,TRUE
"4","L163249",-115.84621,51.26341,"435",5012,"Banff","NP",NA,"OC","41","II",NA,1692721.44138161,685020.06363893,NA,"1885/12/31","Banff National Park of Canada",NA,"{4016F0DE-9849-4667-881A-2A5E0DD992D0}",6850200636.4,754751.511127,-115.84621,51.26341,TRUE
"5","L1496701",-114.0100462,50.9031505,"234",1019,"Fish Creek","PP",NA,"OC","41","II","OC 598/2003",3356.92715729,1358.5002226,"2003/12/17","1975/06/10","Fish Creek Provincial Park",NA,"{A99A5796-CB4C-419C-AF94-FAD02010AB86}",13585002.2222,59944.4090404,-114.0100462,50.9031505,TRUE
"6","L817096",-113.3737779,53.5836653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.3737779,53.5836653,TRUE
"7","L521077",-119.0905952,55.2064022,"399",1047,"Saskatoon Island","PP",NA,"OC","41","II","OC 1602/73",285.2075907,115.41941701,"1973/10/16","1932/11/21","Saskatoon Island Provincial Park",NA,"{FE86F8F5-2F82-4387-991F-099C4AF03705}",1154194.16968,6612.65020144,-119.0905952,55.2064022,TRUE
"8","L711510",-118.806088,55.1715889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-118.806088,55.1715889,TRUE
"9","L2589245",-113.3998275,53.554765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.3998275,53.554765,TRUE
"10","L879045",-114.0070252,50.8893184,"234",1019,"Fish Creek","PP",NA,"OC","41","II","OC 598/2003",3356.92715729,1358.5002226,"2003/12/17","1975/06/10","Fish Creek Provincial Park",NA,"{A99A5796-CB4C-419C-AF94-FAD02010AB86}",13585002.2222,59944.4090404,-114.0070252,50.8893184,TRUE
