"","locality_id","TYPE"
"1","L2390329","out"
"2","L760023","out"
"3","L299543","nat"
"4","L163249","nat"
"5","L1496701","prov"
"6","L817096","out"
"7","L521077","prov"
"8","L711510","out"
"9","L2589245","out"
"10","L879045","prov"
"11","L619864","out"
"12","L795636","out"
"13","L3444215","out"
"14","L283710","out"
"15","L4434824","out"
"16","L4745289","out"
"17","L524794","out"
"18","L419095","prov"
"19","L739139","nat"
"20","L604151","out"
"21","L349379","out"
"22","L467641","out"
"23","L345997","out"
"24","L622216","out"
"25","L1303645","out"
"26","L293997","out"
"27","L1466360","prov"
"28","L3919690","prov"
"29","L302973","out"
"30","L989270","nat"
"31","L1405638","prov"
"32","L345993","nat"
"33","L4434750","out"
"34","L1402922","nat"
"35","L629624","out"
"36","L585195","out"
"37","L4957070","out"
"38","L2586491","out"
"39","L361663","out"
"40","L163245","nat"
"41","L1175217","prov"
"42","L364690","out"
"43","L770871","out"
"44","L468251","out"
"45","L287659","nat"
"46","L990052","prov"
"47","L351684","prov"
"48","L421273","out"
"49","L335790","nat"
"50","L523499","out"
"51","L434506","out"
"52","L374723","out"
"53","L521640","out"
"54","L467560","out"
"55","L405210","out"
"56","L892146","prov"
"57","L341675","nat"
"58","L430047","out"
"59","L1146957","out"
"60","L989258","nat"
"61","L766102","out"
"62","L343763","nat"
"63","L4466597","out"
"64","L796823","out"
"65","L1088329","nat"
"66","L3711088","out"
"67","L342048","prov"
"68","L161199","out"
"69","L467351","out"
"70","L626405","prov"
"71","L2544795","nat"
"72","L728322","out"
"73","L1515946","out"
"74","L2084086","out"
"75","L294151","out"
"76","L351685","out"
"77","L161173","out"
"78","L207050","prov"
"79","L417402","prov"
"80","L1217921","out"
"81","L624083","prov"
"82","L767443","nat"
"83","L2345069","prov"
"84","L801103","out"
"85","L339530","out"
"86","L592475","out"
"87","L2","out"
"88","L284048","out"
"89","L1457863","nat"
"90","L1370725","out"
"91","L864644","out"
"92","L1547932","prov"
"93","L383716","prov"
"94","L497711","out"
"95","L1312397","prov"
"96","L449814","out"
"97","L524839","out"
"98","L2584728","prov"
"99","L2971333","out"
"100","L691371","out"
"101","L1902206","out"
"102","L3584944","out"
"103","L368183","out"
"104","L1477820","nat"
"105","L739134","out"
"106","L1864048","nat"
"107","L2386499","out"
"108","L1148117","nat"
"109","L613589","out"
"110","L286787","prov"
"111","L1450980","nat"
"112","L1448462","out"
"113","L4832190","out"
"114","L267671","out"
"115","L475870","prov"
"116","L375278","out"
"117","L464086","prov"
"118","L2130827","out"
